link,status,host,participants,spots,HP,HPperspot,time,days
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a8fb18665fdb0940f6dac,Dead,PutoSousa,19.0,11.0,142575930.0,12961448.181818182,294260.0,3:09:44:20
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839ae228382181ee8069e51,Dead,David ELITE,18.0,12.0,156285766.0,13023813.833333334,327256.0,3:18:54:16
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838851235b84c6fc404915e,Dead,TheMike,24.0,6.0,78523353.0,13087225.5,329419.0,3:19:30:19
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68388a9089a996668703ad07,Dead,Sonata,14.0,16.0,209996627.0,13124789.1875,313990.0,3:15:13:10
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68390b48d7a1d4531507dba9,Dead,Harry Jomes,16.0,14.0,185067715.0,13219122.5,319444.0,3:16:44:04
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839aac34ff8aa0f35067403,Dead,W I Z A R T,13.0,17.0,225195807.0,13246812.176470589,326392.0,3:18:39:52
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68394663a48fe7c7f707bb17,Dead,Sonata,17.0,13.0,172335216.0,13256555.076923076,300694.0,3:11:31:34
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683889481a912f858d00a160,Dead,Cesare Three Finger Porrello,14.0,16.0,212688249.0,13293015.5625,313660.0,3:15:07:40
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838b99890bfb5022b0f8883,Dead,BroHam,18.0,12.0,160258554.0,13354879.5,342815.0,3:23:13:35
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683ae7f3e583b9175c0edb63,Dead,Two Scoops,15.0,15.0,203421160.0,13561410.666666666,339872.0,3:22:24:32
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683886ceed25add36d08205c,Dead,M1chael Manicotti,14.0,16.0,217459593.0,13591224.5625,313025.0,3:14:57:05
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68388e5965ff8da8dc0b7783,Dead,LIL F00KER,30.0,0.0,8265999.0,13615986.285714284,317213.0,3:16:06:53
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683af9bba2cd8efe0e06dd38,Dead,John Wick the Quick,15.0,15.0,204703844.0,13646922.933333334,321398.0,3:17:16:38
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839f77000a1773aba0a265c,Dead,xBoBx,22.0,8.0,109400250.0,13675031.25,255279.0,2:22:54:39
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839a926d89ef941e103ecfa,Dead,Double Click,14.0,16.0,219268183.0,13704261.4375,300549.0,3:11:29:09
